sex.x,SampYear.x,lbin.x,n.x,sex.y,SampYear.y,lbin.y,n.y,ncomp,POP
2,14,1,11,1,11,1,11,121,0
1,15,1,10,1,11,1,11,110,0
2,15,1,14,1,11,1,11,154,0
1,10,2,12,1,11,1,11,132,0
2,10,2,11,1,11,1,11,121,0
1,11,2,15,1,11,1,11,165,0
2,11,2,14,1,11,1,11,154,0
1,12,2,14,1,11,1,11,154,0
2,12,2,10,1,11,1,11,110,0
1,13,2,10,1,11,1,11,110,0
2,13,2,14,1,11,1,11,154,0
1,14,2,17,1,11,1,11,187,0
2,14,2,20,1,11,1,11,220,0
1,15,2,13,1,11,1,11,143,0
2,15,2,20,1,11,1,11,220,0
1,10,3,19,1,11,1,11,209,0
2,10,3,19,1,11,1,11,209,0
1,11,3,21,1,11,1,11,231,0
2,11,3,22,1,11,1,11,242,0
1,12,3,13,1,11,1,11,143,0
2,12,3,14,1,11,1,11,154,0
1,13,3,27,1,11,1,11,297,0
2,13,3,23,1,11,1,11,253,0
1,14,3,19,1,11,1,11,209,0
2,14,3,22,1,11,1,11,242,0
1,15,3,24,1,11,1,11,264,0
2,15,3,16,1,11,1,11,176,0
1,10,4,18,1,11,1,11,198,0
2,10,4,20,1,11,1,11,220,0
1,11,4,20,1,11,1,11,220,0
2,11,4,20,1,11,1,11,220,0
1,12,4,27,1,11,1,11,297,0
2,12,4,22,1,11,1,11,242,0
1,13,4,28,1,11,1,11,308,0
2,13,4,15,1,11,1,11,165,0
1,14,4,30,1,11,1,11,330,0
2,14,4,18,1,11,1,11,198,0
1,15,4,26,1,11,1,11,286,0
2,15,4,16,1,11,1,11,176,0
1,10,5,19,1,11,1,11,209,0
2,10,5,18,1,11,1,11,198,0
1,11,5,24,1,11,1,11,264,0
2,11,5,15,1,11,1,11,165,0
1,12,5,25,1,11,1,11,275,0
2,12,5,18,1,11,1,11,198,0
1,13,5,19,1,11,1,11,209,0
2,13,5,21,1,11,1,11,231,0
1,14,5,15,1,11,1,11,165,0
2,14,5,27,1,11,1,11,297,0
1,15,5,18,1,11,1,11,198,0
2,15,5,29,1,11,1,11,319,0
1,10,6,12,1,11,1,11,132,0
2,10,6,15,1,11,1,11,165,0
1,11,6,13,1,11,1,11,143,0
2,11,6,14,1,11,1,11,154,0
1,12,6,18,1,11,1,11,198,0
2,12,6,12,1,11,1,11,132,0
1,13,6,11,1,11,1,11,121,0
2,13,6,18,1,11,1,11,198,0
1,14,6,15,1,11,1,11,165,0
2,14,6,12,1,11,1,11,132,0
1,15,6,8,1,11,1,11,88,0
2,15,6,18,1,11,1,11,198,0
1,10,7,10,1,11,1,11,110,0
2,10,7,6,1,11,1,11,66,0
1,11,7,12,1,11,1,11,132,0
2,11,7,7,1,11,1,11,77,0
1,12,7,8,1,11,1,11,88,0
2,12,7,8,1,11,1,11,88,0
1,13,7,11,1,11,1,11,121,0
2,13,7,6,1,11,1,11,66,0
1,14,7,8,1,11,1,11,88,0
2,14,7,6,1,11,1,11,66,0
1,15,7,11,1,11,1,11,121,0
2,15,7,7,1,11,1,11,77,0
1,10,8,13,1,11,1,11,143,0
2,10,8,8,1,11,1,11,88,0
1,11,8,11,1,11,1,11,121,0
2,11,8,5,1,11,1,11,55,0
1,12,8,10,1,11,1,11,110,0
2,12,8,9,1,11,1,11,99,0
1,13,8,8,1,11,1,11,88,0
2,13,8,0,1,11,1,11,0,0
1,14,8,7,1,11,1,11,77,0
2,14,8,12,1,11,1,11,132,0
