sex.x,SampYear.x,lbin.x,n.x,sex.y,SampYear.y,lbin.y,n.y,ncomp,POP,SOPs
2,14,21,0,2,10,1,16,0,0,0
1,15,21,0,2,10,1,16,0,0,0
2,15,21,1,2,10,1,16,16,0,0
1,10,22,0,2,10,1,16,0,0,0
2,10,22,0,2,10,1,16,0,0,0
1,11,22,0,2,10,1,16,0,0,0
2,11,22,0,2,10,1,16,0,0,0
1,12,22,0,2,10,1,16,0,0,0
2,12,22,0,2,10,1,16,0,0,0
1,13,22,0,2,10,1,16,0,0,0
2,13,22,0,2,10,1,16,0,0,0
1,14,22,0,2,10,1,16,0,0,0
2,14,22,0,2,10,1,16,0,0,0
1,15,22,0,2,10,1,16,0,0,0
2,15,22,0,2,10,1,16,0,0,0
1,10,1,11,1,11,1,13,143,0,0
2,10,1,16,1,11,1,13,208,0,0
1,11,1,13,1,11,1,13,78,0,0
2,11,1,12,1,11,1,13,156,0,0
1,12,1,9,1,11,1,13,117,0,0
2,12,1,16,1,11,1,13,208,0,0
1,13,1,8,1,11,1,13,104,0,0
2,13,1,12,1,11,1,13,156,0,0
1,14,1,15,1,11,1,13,195,0,0
2,14,1,21,1,11,1,13,273,0,0
1,15,1,16,1,11,1,13,208,0,0
2,15,1,18,1,11,1,13,234,0,0
1,10,2,13,1,11,1,13,169,0,0
2,10,2,9,1,11,1,13,117,0,0
1,11,2,15,1,11,1,13,195,0,0
2,11,2,17,1,11,1,13,221,0,0
1,12,2,14,1,11,1,13,182,0,0
2,12,2,16,1,11,1,13,208,0,1
1,13,2,13,1,11,1,13,169,0,0
2,13,2,10,1,11,1,13,130,0,0
1,14,2,12,1,11,1,13,156,0,0
2,14,2,10,1,11,1,13,130,0,0
1,15,2,9,1,11,1,13,117,0,0
2,15,2,17,1,11,1,13,221,0,0
1,10,3,21,1,11,1,13,273,0,0
2,10,3,29,1,11,1,13,377,0,0
1,11,3,19,1,11,1,13,247,0,1
2,11,3,27,1,11,1,13,351,0,0
1,12,3,20,1,11,1,13,260,0,0
2,12,3,22,1,11,1,13,286,0,1
1,13,3,22,1,11,1,13,286,0,0
2,13,3,21,1,11,1,13,273,0,0
1,14,3,28,1,11,1,13,364,0,0
2,14,3,19,1,11,1,13,247,0,0
1,15,3,16,1,11,1,13,208,0,0
2,15,3,17,1,11,1,13,221,0,0
1,10,4,19,1,11,1,13,247,0,0
2,10,4,10,1,11,1,13,130,0,0
1,11,4,20,1,11,1,13,260,0,0
2,11,4,21,1,11,1,13,273,0,0
1,12,4,18,1,11,1,13,234,0,0
2,12,4,15,1,11,1,13,195,0,0
1,13,4,32,1,11,1,13,416,0,0
2,13,4,23,1,11,1,13,299,0,0
1,14,4,17,1,11,1,13,221,0,0
2,14,4,21,1,11,1,13,273,0,0
1,15,4,26,1,11,1,13,338,0,0
2,15,4,21,1,11,1,13,273,0,0
1,10,5,14,1,11,1,13,182,0,0
2,10,5,17,1,11,1,13,221,0,0
1,11,5,25,1,11,1,13,325,0,0
2,11,5,16,1,11,1,13,208,0,0
1,12,5,29,1,11,1,13,377,0,0
2,12,5,18,1,11,1,13,234,0,0
1,13,5,23,1,11,1,13,299,0,0
2,13,5,19,1,11,1,13,247,0,0
1,14,5,18,1,11,1,13,234,0,0
2,14,5,23,1,11,1,13,299,0,0
1,15,5,21,1,11,1,13,273,0,1
2,15,5,28,1,11,1,13,364,0,0
1,10,6,17,1,11,1,13,221,0,0
2,10,6,13,1,11,1,13,169,0,0
1,11,6,10,1,11,1,13,130,0,0
2,11,6,9,1,11,1,13,117,0,0
1,12,6,16,1,11,1,13,208,0,1
2,12,6,18,1,11,1,13,234,0,0
1,13,6,9,1,11,1,13,117,0,0
2,13,6,19,1,11,1,13,247,0,0
1,14,6,16,1,11,1,13,208,0,0
2,14,6,18,1,11,1,13,234,0,0
1,15,6,9,1,11,1,13,117,0,0
2,15,6,13,1,11,1,13,169,0,0
1,10,7,10,1,11,1,13,130,0,0
2,10,7,4,1,11,1,13,52,0,0
1,11,7,12,1,11,1,13,156,0,0
2,11,7,10,1,11,1,13,130,0,0
1,12,7,13,1,11,1,13,169,0,0
2,12,7,2,1,11,1,13,26,0,0
1,13,7,8,1,11,1,13,104,0,0
2,13,7,3,1,11,1,13,39,0,0
1,14,7,6,1,11,1,13,78,0,0
2,14,7,6,1,11,1,13,78,0,0
1,15,7,9,1,11,1,13,117,0,0
2,15,7,5,1,11,1,13,65,0,0
1,10,8,12,1,11,1,13,156,0,0
2,10,8,5,1,11,1,13,65,0,0
1,11,8,12,1,11,1,13,156,0,0
2,11,8,10,1,11,1,13,130,0,0
1,12,8,8,1,11,1,13,104,0,0
2,12,8,5,1,11,1,13,65,0,0
1,13,8,10,1,11,1,13,130,0,0
2,13,8,6,1,11,1,13,78,0,0
1,14,8,10,1,11,1,13,130,0,0
2,14,8,6,1,11,1,13,78,0,0
1,15,8,9,1,11,1,13,117,0,0
